PDB ID,Chain ID,Source
"1A12","A","Homo sapiens"
"1A12","B","Homo sapiens"
"1A12","C","Homo sapiens"
"1A1X","A","Homo sapiens"
"1A62","A","Escherichia coli"
"1A9X","A","Escherichia coli"
"1A9X","B","Escherichia coli"
"1A9X","C","Escherichia coli"
"1A9X","D","Escherichia coli"
"1A9X","E","Escherichia coli"
"1A9X","F","Escherichia coli"
"1A9X","G","Escherichia coli"
"1A9X","H","Escherichia coli"
"1ACO","A","Bos taurus"
"1AD2","A","Thermus thermophilus"
"1AF7","A","Salmonella enterica"
"1AH7","A","Bacillus cereus"
"1AIE","A","Homo sapiens"
"1AOL","A","Murine leukemia virus"
"1AYO","A","Bos taurus"
"1AYO","B","Bos taurus"
"1B0N","A","Bacillus subtilis"
"1B0N","B","Bacillus subtilis"
"1B25","A","Pyrococcus furiosus"
"1B25","B","Pyrococcus furiosus"
"1B25","C","Pyrococcus furiosus"
"1B25","D","Pyrococcus furiosus"
"1B33","A","Mastigocladus laminosus"
"1B33","B","Mastigocladus laminosus"
"1B33","C","Mastigocladus laminosus"
"1B33","D","Mastigocladus laminosus"
"1B33","E","Mastigocladus laminosus"
"1B33","F","Mastigocladus laminosus"
"1B33","H","Mastigocladus laminosus"
"1B33","I","Mastigocladus laminosus"
"1B33","J","Mastigocladus laminosus"
"1B33","K","Mastigocladus laminosus"
"1B33","L","Mastigocladus laminosus"
"1B33","M","Mastigocladus laminosus"
"1B33","N","Mastigocladus laminosus"
"1B33","O","Mastigocladus laminosus"
"1B79","A","Escherichia coli"
"1B79","B","Escherichia coli"
"1B79","C","Escherichia coli"
"1B79","D","Escherichia coli"
"1BG1","A","Mus musculus"
"1BG1","B",""
"1BGF","A","Mus musculus"
"1BKR","A","Homo sapiens"
"1BM8","A","Saccharomyces cerevisiae"
"1BOU","A","Sphingomonas paucimobilis"
"1BOU","B","Sphingomonas paucimobilis"
"1BOU","C","Sphingomonas paucimobilis"
"1BOU","D","Sphingomonas paucimobilis"
"1BX7","A","Hirudo medicinalis"
"1BXY","A","Thermus thermophilus"
"1BXY","B","Thermus thermophilus"
"1BYI","A","Escherichia coli"
"1C5E","A","Escherichia virus Lambda"
"1C5E","B","Escherichia virus Lambda"
"1C5E","C","Escherichia virus Lambda"
"1CC8","A","Saccharomyces cerevisiae"
"1CCW","A","Clostridium cochlearium"
"1CCW","B","Clostridium cochlearium"
"1CCW","C","Clostridium cochlearium"
"1CCW","D","Clostridium cochlearium"
"1CFZ","A","Escherichia coli"
"1CFZ","B","Escherichia coli"
"1CFZ","C","Escherichia coli"
"1CFZ","D","Escherichia coli"
"1CFZ","E","Escherichia coli"
"1CFZ","F","Escherichia coli"
"1CHD","A","Salmonella enterica"
"1CI4","A","Homo sapiens"
"1CI4","B","Homo sapiens"
"1CIP","A","Rattus norvegicus"
"1CIY","A","Bacillus thuringiensis"
"1CQ3","A","Cowpox virus"
"1CQ3","B","Cowpox virus"
"1CRU","A","Acinetobacter calcoaceticus"
"1CRU","B","Acinetobacter calcoaceticus"
"1CUK","A","Escherichia coli"
"1CXQ","A","Avian sarcoma virus"
"1CY5","A","Homo sapiens"
"1D0Q","A","Geobacillus stearothermophilus"
"1D0Q","B","Geobacillus stearothermophilus"
"1D3Y","A","Methanocaldococcus jannaschii"
"1D3Y","B","Methanocaldococcus jannaschii"
"1DCE","A","Rattus norvegicus"
