PDB ID,Chain ID,Resolution,Chain Length
"1VR0","A","2.49","247"
"1VR0","B","2.49","247"
"1VR0","C","2.49","247"
"1VR4","C","2.09","103"
"1VR4","D","2.09","103"
"1VR4","E","2.09","103"
"1VR4","A","2.09","103"
"1VR4","B","2.09","103"
"1VR7","B","1.20","142"
"1VR7","A","1.20","142"
"1VR8","A","1.75","142"
"1VR9","A","1.70","213"
"1VR9","B","1.70","213"
"1VRA","A","2.00","208"
"1VS3","A","2.25","249"
"1VS3","B","2.25","249"
"1WWI","A","1.58","148"
"1WWJ","C","1.90","105"
"1WWJ","D","1.90","105"
"1WWJ","A","1.90","105"
"1WWJ","B","1.90","105"
"1WWP","A","2.11","119"
"1WWP","B","2.11","119"
"1WWR","A","1.80","171"
"1WWR","B","1.80","171"
"1WWR","C","1.80","171"
"1WWR","D","1.80","171"
"1WWZ","B","1.75","159"
"1WWZ","A","1.75","159"
"1WXO","A","1.88","157"
"1WXO","B","1.88","157"
"1WXO","C","1.88","157"
"1WY6","A","2.20","172"
"1WY9","A","2.10","147"
"1WYW","A","2.10","230"
"1WYW","B","2.10","97"
"1WYX","B","1.14","69"
"1WYX","A","1.14","69"
"1WYY","A","2.20","149"
"1WYY","B","2.20","149"
"1WYZ","B","2.50","242"
"1WYZ","C","2.50","242"
"1WYZ","D","2.50","242"
"1WYZ","A","2.50","242"
"1WZ3","A","1.80","96"
"1WZ3","B","1.80","96"
"1WZD","A","1.35","215"
"1WZD","B","1.35","215"
"1WZN","A","1.90","252"
"1WZN","B","1.90","252"
"1WZN","C","1.90","252"
"1WZO","A","1.90","246"
"1WZO","B","1.90","246"
"1WZO","C","1.90","246"
"1WZO","D","1.90","246"
"1WZV","A","2.10","155"
"1WZV","B","2.10","155"
"1X0G","D","2.50","112"
"1X0G","A","2.50","112"
"1X0G","B","2.50","112"
"1X0G","C","2.50","112"
"1X0T","A","1.60","120"
"1X2I","A","1.45","75"
"1X2I","B","1.45","75"
"1X3K","A","1.64","152"
"1X3X","A","1.80","82"
"1X3X","B","1.80","82"
"1X46","A","1.50","150"
"1YFN","B","1.80","118"
"1YFN","C","1.80","118"
"1YFN","D","1.80","118"
"1YFN","A","1.80","118"
"1YG2","A","2.20","179"
"1YGT","A","1.70","111"
"1YHF","A","2.00","115"
"1YHQ","V","2.40","71"
"1YHQ","M","2.40","194"
"1YHQ","A","2.40","240"
"1YHQ","R","2.40","155"
"1YHQ","H","2.40","177"
"1YHQ","W","2.40","154"
"1YHQ","N","2.40","187"
"1YHQ","C","2.40","246"
"1YHQ","S","2.40","85"
"1YHQ","I","2.40","162"
"1YHQ","1","2.40","57"
"1YHQ","X","2.40","92"
"1YHQ","O","2.40","116"
"1YHQ","D","2.40","177"
"1YHQ","T","2.40","120"
"1YHQ","J","2.40","145"
"1YHQ","2","2.40","50"
"1YHQ","Y","2.40","241"
"1YHQ","P","2.40","149"
"1YHQ","E","2.40","178"
"1YHQ","U","2.40","66"
"1YHQ","L","2.40","165"
"1YHQ","3","2.40","92"
"1YHQ","Z","2.40","83"
"1YHQ","Q","2.40","96"
"1YHQ","F","2.40","120"
"1YIO","A","2.20","208"
"1YIX","A","1.90","265"
"1YIX","B","1.90","265"
"1YJG","B","2.22","158"
"1YJG","D","2.22","158"
"1YJG","E","2.22","158"
"1YJG","A","2.22","158"
"1YJM","C","2.20","110"
"1YJM","A","2.20","110"
"1YJM","B","2.20","110"
"1YK3","E","2.20","210"
"1YK3","A","2.20","210"
"1YK3","F","2.20","210"
"1YK3","B","2.20","210"
"1YK3","G","2.20","210"
"1YK3","C","2.20","210"
"1YK3","H","2.20","210"
"1YK3","D","2.20","210"
"1YKI","A","1.70","217"
"1YKI","B","1.70","217"
"1YKI","C","1.70","217"
"1YKI","D","1.70","217"
"1YLF","B","2.50","149"
"1YLF","C","2.50","149"
"1YLF","A","2.50","149"
"1YLI","A","1.95","153"
"1YLI","B","1.95","153"
"1YLL","A","1.64","200"
"1YLL","B","1.64","200"
"1YLL","C","1.64","200"
"1YLL","D","1.64","200"
"1YLM","B","1.83","144"
"1YLM","A","1.83","144"
"1YLQ","A","2.02","96"
"1YLQ","B","2.02","96"
"1YLX","B","1.60","103"
"1YLX","A","1.60","103"
"1YM3","A","1.75","215"
"1YM5","A","2.05","300"
"1YMK","A","1.70","175"
"1YMP","B","2.20","135"
"1YMP","A","2.20","135"
"1YN4","A","1.80","99"
"1YN9","A","1.50","169"
"1YN9","B","1.50","169"
"1YN9","C","1.50","169"
"1YNB","A","1.76","173"
"1YNB","B","1.76","173"
"1YNB","C","1.76","173"
"1YO5","C","2.00","97"
"1YOA","A","1.90","159"
"1YOC","A","1.70","147"
"1YOC","B","1.70","147"
"1YOX","C","2.30","250"
"1YOX","D","2.30","250"
"1YOX","E","2.30","250"
"1YOX","A","2.30","250"
